Source,Target,Weight
Joshua,Moses,423
Joshua,Ruth,4
Joshua,Samuel,99
Moses,Ruth,8
Moses,Samuel,169
Ruth,Samuel,23
Esther,Job,9
Esther,Joshua,20
Esther,Moses,12
Esther,Muhammad,7
Esther,Ruth,7
Esther,Samuel,46
Esther,Solomon,15
Job,Joshua,14
Job,Moses,27
Job,Muhammad,6
Job,Ruth,11
Job,Samuel,27
Job,Solomon,21
Joshua,Muhammad,8
Joshua,Solomon,37
Moses,Muhammad,75
Moses,Solomon,128
Muhammad,Ruth,10
Muhammad,Samuel,37
Muhammad,Solomon,28
Ruth,Solomon,21
Samuel,Solomon,67
Esther,Jeremiah,16
Jeremiah,Job,16
Jeremiah,Muhammad,15
Jeremiah,Ruth,7
Jeremiah,Samuel,101
Jeremiah,Solomon,13
Esther,Matthias,2
Jeremiah,Matthias,3
Job,Matthias,2
Matthias,Muhammad,3
Matthias,Solomon,7
Esther,John,4
Esther,Paul,1
Jeremiah,John,5
Jeremiah,Paul,2
Job,John,7
Job,Paul,1
John,Matthias,47
John,Muhammad,22
John,Paul,24
John,Solomon,8
Matthias,Paul,5
Muhammad,Paul,5
Paul,Solomon,6
Paul,Titus,8
John,Peter,125
John,Titus,68
Paul,Peter,13
Peter,Titus,5
John,Moses,36
Moses,Paul,26
Moses,Peter,24
Moses,Titus,6
Adam,Eve,297
Adam,Cain,86
Cain,Eve,28
Abel,Adam,60
Abel,Cain,133
Abel,Eve,25
Cain,Enoch,18
Enoch,Noah,28
Noah,Shem,122
Abraham,Haran,105
Abraham,Sarah,491
Haran,Sarah,31
Abraham,Pharaoh,77
Pharaoh,Sarah,40
Abraham,Dan,20
Abraham,Eliezer,124
Ishmael,Sarah,80
Abraham,Ishmael,284
Abraham,Isaac,1029
Isaac,Ishmael,178
Isaac,Sarah,188
Abraham,Ammon,11
Abraham,Moab,22
Ammon,Moab,106
Ammon,Sarah,7
Moab,Sarah,7
Abraham,Rebekah,105
Rebekah,Sarah,33
Isaac,Rebekah,180
Ishmael,Rebekah,16
Edom,Isaac,384
Edom,Jacob,858
Isaac,Jacob,868
Edom,Rebekah,134
Jacob,Rebekah,177
Abraham,Edom,162
Abraham,Jacob,812
Edom,Haran,36
Haran,Jacob,87
Haran,Rebekah,26
Haran,Isaac,32
Edom,Ishmael,74
Ishmael,Jacob,252
Haran,Ishmael,6
Haran,Rachel,18
Jacob,Rachel,319
Rachel,Rebekah,24
Jacob,Leah,183
Leah,Rachel,157
Jacob,Reuben,229
Leah,Reuben,28
Rachel,Reuben,27
Leah,Simeon,6
Rachel,Simeon,21
Reuben,Simeon,119
Levi,Simeon,170
Jacob,Jehudah,1785
Jacob,Levi,288
Jacob,Simeon,465
Jehudah,Levi,248
Jehudah,Rachel,23
Jehudah,Simeon,1057
Levi,Rachel,18
Dan,Jacob,160
Dan,Rachel,29
Dan,Leah,8
Jacob,Joseph,648
Joseph,Leah,41
Joseph,Rachel,84
Isaac,Rachel,28
Edom,Leah,39
Edom,Rachel,38
Edom,Joseph,59
Edom,Levi,18
Abraham,Rachel,18
Benjamin,Jacob,386
Benjamin,Rachel,52
Benjamin,Reuben,41
Benjamin,Jehudah,293
Benjamin,Leah,9
Benjamin,Levi,54
Benjamin,Simeon,76
Jehudah,Leah,13
Jehudah,Reuben,84
Leah,Levi,9
Levi,Reuben,52
Benjamin,Dan,71
Benjamin,Joseph,172
Dan,Jehudah,83
Dan,Joseph,50
Dan,Levi,42
Dan,Reuben,39
Dan,Simeon,33
Jehudah,Joseph,607
Joseph,Levi,105
Joseph,Reuben,92
Joseph,Simeon,270
Benjamin,Isaac,11
Dan,Isaac,6
Isaac,Jehudah,49
Isaac,Joseph,81
Isaac,Leah,7
Isaac,Levi,40
Isaac,Reuben,8
Isaac,Simeon,23
Abraham,Benjamin,9
Abraham,Jehudah,99
Abraham,Joseph,88
Abraham,Leah,11
Abraham,Levi,41
Abraham,Reuben,3
Abraham,Simeon,35
Benjamin,Edom,13
Dan,Edom,7
Edom,Jethro,23
Edom,Korah,19
Ishmael,Jethro,5
Ishmael,Korah,4
Jacob,Jethro,44
Jacob,Korah,51
Jethro,Korah,23
Edom,Omar,11
Jacob,Omar,4
Jethro,Omar,12
Korah,Omar,9
Edom,Moab,89
Jacob,Moab,246
Edom,Saul,11
Jacob,Saul,374
Moab,Saul,10
Jacob,Pharaoh,299
Jacob,Potiphar,5
Jehudah,Pharaoh,41
