Source,Target,Weight
John,Krishna,51
John,Vyāsa,47
Krishna,Vyāsa,445
Chandra,Vyāsa,3
Chandra,Vasudeva_Anakadundubhi,3
Krishna,Pandu,1150
Krishna,Vishnu,716
Vishnu,Vyāsa,53
Daksha,Vasishtha,33
Sanjaya,Vyāsa,111
Drona,Karna,1234
Ganga,Krishna,165
Ganga,Pandu,166
Ganga,Vyāsa,57
Pandu,Vyāsa,135
Vasudeva_Anakadundubhi,Vyāsa,82
Pandu,Vasudeva_Anakadundubhi,398
Vyāsa,Yudhishthira,365
Arjuna,Bhima,2447
Arjuna,Vyāsa,192
Arjuna,Yudhishthira,2108
Bhima,Vyāsa,79
Bhima,Yudhishthira,2031
Arjuna,Krishna,2959
Arjuna,Pandu,2074
Bhima,Krishna,1114
Bhima,Pandu,1478
Krishna,Yudhishthira,1673
Pandu,Yudhishthira,1646
Indra,Krishna,867
Indra,Pandu,608
Indra,Vayu,366
Krishna,Vayu,26
Pandu,Vayu,31
Arjuna,Nakula,434
Nakula,Yudhishthira,514
Krishna,Nakula,138
Arjuna,Vasudeva_Anakadundubhi,1088
Bhima,Vasudeva_Anakadundubhi,310
Krishna,Vasudeva_Anakadundubhi,1031
Vasudeva_Anakadundubhi,Yudhishthira,514
Arjuna,Duryodhana,1412
Bhima,Duryodhana,1275
Duryodhana,Vasudeva_Anakadundubhi,318
Duryodhana,Yudhishthira,1122
Drona,Vasudeva_Anakadundubhi,281
Drona,Duryodhana,1228
Drona,Sanjaya,882
Duryodhana,Sanjaya,806
Duryodhana,Pandu,955
Pandu,Sanjaya,568
Arjuna,Sanjaya,1156
Krishna,Sanjaya,608
Arjuna,Balarāma,18
Balarāma,Krishna,176
Balarāma,Sanjaya,4
Agni,Arjuna,218
Agni,Balarāma,6
Agni,Indra,1153
Agni,Krishna,160
Agni,Sanjaya,22
Arjuna,Indra,1415
Balarāma,Indra,8
Indra,Sanjaya,289
Agni,Draupadi,16
Arjuna,Draupadi,521
Draupadi,Indra,96
Draupadi,Sanjaya,89
Bhima,Draupadi,668
Bhima,Sanjaya,623
Draupadi,Pandu,325
Sanjaya,Yudhishthira,644
Bhima,Indra,486
Arjuna,Karna,2036
Bhima,Karna,1203
Indra,Karna,555
Karna,Sanjaya,727
Karna,Yudhishthira,669
Draupadi,Karna,186
Draupadi,Yudhishthira,695
Draupadi,Vasudeva_Anakadundubhi,81
Sanjaya,Vasudeva_Anakadundubhi,235
Duryodhana,Krishna,962
Drona,Krishna,757
Arjuna,Drona,1954
Arjuna,Ganga,281
Ganga,Sanjaya,93
Drona,Indra,473
Bhima,Drona,967
Karna,Krishna,786
Drona,Nakula,163
Karna,Nakula,244
Nakula,Sanjaya,78
Drona,Yudhishthira,912
Drona,Pandu,817
Draupadi,Drona,209
Draupadi,Krishna,508
Indra,Vyāsa,94
Indra,Ráma,610
Raghu,Sagara,27
Bhrigu,Ráma,342
Kali,Ráma,6
Duryodhana,Vyāsa,76
Draupadi,Ráma,27
Ráma,Sanjaya,42
Jambu,Karna,5
Arjuna,Jambu,6
Drona,Jambu,6
Jambu,Krishna,6
Duryodhana,Karna,1412
Draupadi,Vishnu,10
Draupadi,Vyāsa,48
Arjuna,Bhrigu,47
Bhrigu,Draupadi,2
Bhrigu,Krishna,75
Bhima,Dhrishtadyumna,586
Dhrishtadyumna,Krishna,209
Dhrishtadyumna,Vyāsa,19
Dhrishtadyumna,Draupadi,304
Arjuna,Dhrishtadyumna,452
Dhrishtadyumna,Ganga,63
Draupadi,Ganga,48
Arjuna,Vasishtha,68
Dhrishtadyumna,Vasishtha,1
Draupadi,Vasishtha,4
Ganga,Vasishtha,29
Krishna,Vasishtha,49
Vasishtha,Vyāsa,32
Balarāma,Bhima,8
Balarāma,Draupadi,4
Balarāma,Ganga,1
Balarāma,Vasishtha,2
Bhima,Ganga,93
Bhima,Vasishtha,3
Draupadi,Duryodhana,265
Karna,Vyāsa,45
Bhima,Maitreya,18
Duryodhana,Maitreya,31
Karna,Maitreya,5
Maitreya,Vyāsa,53
Arjuna,Maitreya,5
Maitreya,Yudhishthira,16
Draupadi,Maitreya,2
Krishna,Maitreya,155
Dhrishtadyumna,Duryodhana,242
Dhrishtadyumna,Maitreya,1
Dhrishtadyumna,Pandu,238
Dhrishtadyumna,Yudhishthira,409
Maitreya,Pandu,4
Indra,Yudhishthira,666
Agastya,Arjuna,20
Agastya,Indra,88
Agastya,Karna,8
Agastya,Ráma,113
Karna,Ráma,117
Agastya,Bhrigu,69
Bhrigu,Soma,51
Ráma,Soma,23
Agni,Janak,6
Agni,Soma,693
Indra,Janak,37
Indra,Soma,2650
Janak,Soma,13
Agni,Varuna,644
Indra,Varuna,898
Janak,Varuna,13
Agni,Bhima,33
Bhima,Janak,3
Bhima,Varuna,51
Draupadi,Janak,1
Draupadi,Varuna,5
Janak,Krishna,16
Krishna,Varuna,128
Bhima,Hanumán,70
Draupadi,Hanumán,7
Hanumán,Krishna,9
Hanumán,Varuna,1
Arjuna,Hanumán,8
Hanumán,Yudhishthira,6
Arjuna,Ráma,226
Bhima,Ráma,134
Duryodhana,Ráma,101
Ráma,Yudhishthira,165
Duryodhana,Indra,363
Indra,Vasudeva_Anakadundubhi,175
Jambu,Sanjaya,3
Jambu,Vyāsa,2
Jambu,Yudhishthira,4
Jambu,Vasudeva_Anakadundubhi,3
Drona,Vyāsa,100
Arjuna,Śiva,220
Drona,Śiva,61
Krishna,Śiva,330
Yudhishthira,Śiva,67
Vyāsa,Śiva,26
Balarāma,Duryodhana,18
Balarāma,Yudhishthira,11
Balarāma,Vyāsa,3
Draupadi,Śiva,9
Dhrishtadyumna,Drona,733
Dhrishtadyumna,Śiva,10
Ganga,Yudhishthira,229
Balarāma,Vasudeva_Anakadundubhi,36
Agni,Vyāsa,22
Agni,Yudhishthira,48
Yama,Yudhishthira,195
Indra,Yama,442
Vyāsa,Yama,11
Agni,Parjanya,32
Indra,Parjanya,50
Bhrigu,Indra,152
Bhrigu,Varuna,49
Agni,Bhrigu,95
Drona,Gautama,105
Bhrigu,Yudhishthira,79
Bhrigu,Surya,20
Bhrigu,Vishnu,57
Krishna,Soma,74
Soma,Surya,369
Soma,Vishnu,232
Surya,Vishnu,107
Krishna,Surya,82
Atri,Krishna,15
Atri,Vasudeva_Anakadundubhi,5
Atri,Vishnu,19
Vasudeva_Anakadundubhi,Vishnu,144
Daksha,Indra,62
Daksha,Vishnu,65
Indra,Vishnu,865
Agni,Daksha,8
Agni,Vishnu,239
Agni,Surya,277
Agni,Yama,165
Indra,Sachi,214
Sachi,Vayu,6
Soma,Yama,134
Surya,Yama,74
Arjuna,Níla,11
Pandu,Śiva,60
Soma,Varuna,497
Varuna,Yama,333
Indra,Vasishtha,104
Varuna,Vasishtha,40
Vasishtha,Yama,24
Krishna,Yama,226
Krishna,Ráma,230
Ráma,Vasishtha,54
Ráma,Yama,133
Bhrigu,Vyāsa,20
Kali,Krishna,65
Kali,Vyāsa,21
Bhima,Nakula,676
Arjuna,Sachi,29
Krishna,Sachi,68
Pandu,Sachi,17
Sachi,Vasudeva_Anakadundubhi,7
Agni,Pandu,65
Agni,Sachi,25
Agni,Vasudeva_Anakadundubhi,40
Arjuna,Vishnu,174
Pandu,Vishnu,85
Sachi,Vishnu,20
Agni,Duryodhana,27
Duryodhana,Vishnu,45
Devaki,Surya,4
Devaki,Vasudeva_Anakadundubhi,132
Devaki,Vishnu,51
Surya,Vasudeva_Anakadundubhi,15
Gautama,Krishna,14
Agni,Dhrishtadyumna,10
Agni,Drona,68
Agni,Gautama,11
Dhrishtadyumna,Gautama,32
Agni,Prahlāda,5
Dhrishtadyumna,Prahlāda,4
Draupadi,Gautama,18
Draupadi,Prahlāda,10
Drona,Prahlāda,19
Gautama,Prahlāda,5
Krishna,Prahlāda,44
Duryodhana,Prahlāda,13
Pandu,Prahlāda,2
Duryodhana,Yama,165
Pandu,Yama,228
Arjuna,Yama,388
Bhima,Yama,398
Indra,Nakula,68
Nakula,Pandu,307
