Source,Target,Weight
Jacob,Moses,767
Aaron,Moses,411
Jacob,Jehudah,354
Jacob,Joseph,300
Abraham,Isaac,290
David,Jacob,265
Edom,Jacob,260
Isaac,Jacob,260
Abraham,Jacob,243
David,Saul,229
Aaron,Jacob,194
Moses,Pharaoh,185
Jacob,Joshua,152
Jacob,Pharaoh,148
David,Solomon,137
Joshua,Moses,137
Joseph,Pharaoh,124
Benjamin,Jacob,114
Jacob,Muhammad,114
Abraham,Sarah,113
Antipater,Herod,113
Jacob,Rachel,101
David,Jehudah,100
Samuel,Saul,100
Augustus Caesar,Herod,97
Jacob,Solomon,96
Edom,Isaac,91
Benjamin,Joseph,87
Herod,Mark Antony,87
Ephraim,Jacob,86
David,Joab,83
Benjamin,Jehudah,82
Jacob,Reuben,82
Jacob,Saul,81
Abraham,Moses,80
Elazar,Moses,80
Haman,Mordecai,80
Adam,Eve,77
Alexander,Herod,76
Jehudah,Joseph,74
Jacob,Levi,73
Jonathan,Saul,73
Absalom,David,71
Jacob,Moab,71
Archelaus,Herod,69
Balaam,Jacob,69
Jacob,Jeroboam,69
David,Jonathan,68
Jeremiah,Muhammad,68
Elazar,Jacob,61
Balaam,Balak,59
Jethro,Moses,59
David,Samuel,58
Aaron,Elazar,57
Abraham,Ishmael,57
Esther,Mordecai,57
Jacob,Leah,56
Aaron,Pharaoh,55
Agrippa,Herod,54
Elijah,Jacob,54
Herod,Pheroras,54
Elijah,Muhammad,53
Isaac,Moses,53
Ahab,Jacob,52
Ephraim,Jehudah,51
David,Muhammad,50
Alexander,Antipater,49
Ephraim,Joseph,49
Jacob,Samuel,49
Miriam,Moses,49
Isaac,Rebekah,48
Jehudah,Levi,48
Joseph,Reuben,48
Jehudah,Reuben,47
Joseph,Moses,47
Joseph,Potiphar,47
Ahasuerus,Haman,46
Leah,Rachel,46
Levi,Moses,46
Moses,Muhammad,46
Dan,Jacob,45
Esther,Haman,44
Joseph,Simon,43
Isaac,Sarah,42
Jacob,Rebekah,42
Jehudah,Jeremiah,42
Abraham,Joseph,41
Ahasuerus,Mordecai,41
Balak,Jacob,41
Elisha,Muhammad,41
Jacob,Simon,41
Jehudah,Moses,41
Korah,Moses,41
Abraham,Edom,40
Agrippa,Augustus Caesar,40
Ahab,Elijah,40
Muhammad,Samuel,40
Aaron,Miriam,38
Levi,Simon,38
Hezekiah,Jehudah,37
Joseph,Levi,37
Ahab,Muhammad,36
Antipater,Pheroras,36
David,Jesse,36
Isaac,Ishmael,36
Jacob,Jeremiah,36
Abel,Cain,35
Abraham,Noah,35
Antipater,Augustus Caesar,35
Jehudah,Simeon,35
Peter,Simon,35
Ahasuerus,Esther,34
Jacob,Joab,34
Jacob,Mordecai,34
Jehudah,Jeroboam,34
Noah,Shem,34
Adam,Noah,33
Alexander,Archelaus,33
Herod,Joseph,33
Absalom,Joab,32
Agrippa,Claudius,32
David,Jeroboam,32
Edom,Rebekah,32
Levi,Reuben,32
Levi,Simeon,32
Balaam,Moses,31
Hezekiah,Muhammad,31
Agrippa,Caligula,30
Archelaus,Augustus Caesar,30
David,Nathan,30
Edom,Joseph,30
Elazar,Joshua,30
Joseph,Rachel,30
Abraham,Michael,29
Alexander,Demetrius,29
Ammon,Moab,29
Cleopatra,Mark Antony,29
Haman,Jacob,29
Jacob,Jethro,29
Jacob,Michael,29
Jacob,Phinehas,29
Jacob,Simeon,29
Moses,Reuben,29
Demetrius,Jonathan,28
Hezekiah,Jacob,28
Muhammad,Saul,28
Adam,Satan,27
Elisha,Jacob,27
Herod,Philip,27
Jacob,Jonathan,27
Jeroboam,Muhammad,27
Job,Satan,27
Reuben,Simeon,27
Abraham,Rebekah,26
Ammon,Jacob,26
Herod,Malichus,26
Jehudah,Saul,26
Jehudah,Solomon,26
Abraham,Eliezer,25
Abraham,Shem,25
Ahab,Jehudah,25
Benjamin,Ephraim,25
Benjamin,Saul,25
Edom,Jehudah,25
Ishmael,Jacob,25
Jacob,Jehu,25
Jacob,Joash,25
Jeroboam,Rehoboam,25
Moab,Moses,25
Moses,Phinehas,25
Muhammad,Solomon,25
Abraham,Haran,24
Abraham,Pharaoh,24
Agrippa,Tiberius,24
Cleopatra,Herod,24
Dan,Jehudah,24
Jeroboam,Solomon,24
Joab,Solomon,24
Judas,Simon,24
Muhammad,Nathan,24
Augustus Caesar,Claudius,23
Jonathan,Simon,23
Aaron,Korah,22
Abraham,Adam,22
Abraham,Satan,22
Antipater,Archelaus,22
Augustus Caesar,Caligula,22
Elijah,Elisha,22
Elijah,Moses,22
Jacob,Noah,22
Reuben,Simon,22
Aaron,Levi,21
Adam,Cain,21
Adam,Jacob,21
Balaam,Moab,21
Benjamin,Dan,21
David,Rehoboam,21
Edom,Moab,21
Elazar,Phinehas,21
Gabriel,Michael,21
Jacob,Nebuchadnezzar,21
Jehudah,Joash,21
Moses,Samuel,21
Nathan,Solomon,21
Abraham,David,20
Absalom,Jacob,20
Alexander,Augustus Caesar,20
Antiochus,Demetrius,20
Antipater,Malichus,20
Benjamin,Reuben,20
Jacob,Korah,20
Jacob,Miriam,20
Ammon,David,19
Balak,Moab,19
Caligula,Tiberius,19
Edom,Ishmael,19
Gideon,Jacob,19
Jesse,Saul,19
Moses,Noah,19
Rehoboam,Solomon,19
Alexander,Pheroras,18
Augustus Caesar,Mark Antony,18
Benjamin,David,18
Caligula,Claudius,18
Elazar,Samuel,18
Haran,Jacob,18
Jacob,Shem,18
Jehudah,Moab,18
Jehudah,Nebuchadnezzar,18
Pharaoh,Solomon,18
Aaron,Abraham,17
Agrippa,Bernice,17
Archelaus,Philip,17
Benjamin,Levi,17
Benjamin,Rachel,17
Gaius Cassius Longinus,Herod,17
Alexandra,Herod,16
Archelaus,Herod Antipas,16
Benjamin,Simeon,16
Caligula,Herod,16
Dan,Joseph,16
Dan,Reuben,16
Eliezer,Jacob,16
Elijah,Joshua,16
Gaius Cassius Longinus,Malichus,16
Herod,Tiberius,16
Jacob,Rehoboam,16
Jehudah,Rehoboam,16
Ahab,David,15
Ahab,Jehu,15
Alexander,Antiochus,15
