Id,Label,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,CommunityID
Jacob,Jacob,0.6910569105691058,0.05644345436428603,0.5897907347407979,0
Moses,Moses,0.3008130081300813,0.023426185081522943,0.37784207650332813,0
Aaron,Aaron,0.1626016260162602,0.015247234439557509,0.16482252285605867,0
Jehudah,Jehudah,0.2682926829268293,0.02207783553245369,0.1943237481344874,0
David,David,0.2764227642276423,0.04100581989426451,0.1585146677648056,2
Joseph,Joseph,0.2520325203252033,0.08348882669154561,0.11572691494232572,0
Abraham,Abraham,0.3008130081300813,0.09855962376953979,0.13088214238365053,4
Isaac,Isaac,0.21138211382113822,0.01773068550357635,0.11574285594302608,4
Edom,Edom,0.21138211382113822,0.045432937935936744,0.09027004252264444,0
Saul,Saul,0.13821138211382114,0.045912746012706014,0.06120312338976532,2
Pharaoh,Pharaoh,0.1788617886178862,0.05198365098405086,0.10655865412063531,0
Joshua,Joshua,0.10569105691056911,0.00801901461637567,0.08960574414001926,0
Solomon,Solomon,0.12195121951219513,0.012985916744413344,0.059467783742980125,2
Muhammad,Muhammad,0.24390243902439027,0.10745035319205647,0.07155895773725542,2
Benjamin,Benjamin,0.1788617886178862,0.007696921231507397,0.052403988603188345,0
Sarah,Sarah,0.11382113821138212,0.011779732551423876,0.015631142266034192,4
Antipater,Antipater,0.10569105691056911,0.005197920831667333,9.531187560798265e-05,5
Herod,Herod,0.24390243902439027,0.04432671375894087,0.0018020646165230428,5
Rachel,Rachel,0.10569105691056911,0.00537562752676707,0.030880135780571364,0
Samuel,Samuel,0.13821138211382114,0.010906748411746412,0.04392442821898369,2
Augustus Caesar,Augustus Caesar,0.13821138211382114,0.036956328579679225,8.279229379558892e-05,5
Jeremiah,Jeremiah,0.0813008130081301,6.66400106624017e-05,0.036675571620912166,2
Mark Antony,Mark Antony,0.0813008130081301,0.0009418454840286108,0.0005888259553318215,5
Ephraim,Ephraim,0.12195121951219513,0.03368874672353281,0.04266336809592176,0
Joab,Joab,0.10569105691056911,0.008321115998045225,0.020969731182650275,2
Reuben,Reuben,0.13008130081300814,0.008163401306144208,0.039365496363953756,0
Elazar,Elazar,0.1626016260162602,0.09861134911114919,0.04620793880150943,0
Haman,Haman,0.0975609756097561,0.015662623839353153,0.010550323609441373,1
Mordecai,Mordecai,0.07317073170731708,0.014258740948065219,0.010143437082756177,1
Adam,Adam,0.11382113821138212,0.0015327202452352392,0.016218724519998715,4
Eve,Eve,0.11382113821138212,0.027726687102936604,0.004601729880011824,4
Alexander,Alexander,0.15447154471544716,0.007021635790128393,0.0001739540255931903,5
Levi,Levi,0.1626016260162602,0.009353084163160132,0.04506333078464167,0
Jonathan,Jonathan,0.13008130081300814,0.008258918654760316,0.018511992228557726,2
Absalom,Absalom,0.06504065040650407,0.0061619796525834115,0.012702321177418518,2
Moab,Moab,0.0975609756097561,0.006397441023590564,0.03871529066702653,0
Archelaus,Archelaus,0.07317073170731708,0.0,5.89318508256945e-05,5
Balaam,Balaam,0.0975609756097561,0.0036207739126571594,0.030489556307661834,0
Jeroboam,Jeroboam,0.0975609756097561,0.001188413523479497,0.03316988556792352,0
Peter,Peter,0.0894308943089431,0.04962745060705877,0.006866251031880093,6
Balak,Balak,0.04878048780487805,0.0,0.016090397875716318,0
Jethro,Jethro,0.0975609756097561,0.02104713670087521,0.020817523613103846,0
Ishmael,Ishmael,0.0894308943089431,0.0038540139499755655,0.015957584084427556,4
Esther,Esther,0.07317073170731708,0.023477275756364123,0.005458575100086933,1
Hezekiah,Hezekiah,0.0813008130081301,0.026067350837442806,0.0245127897068907,0
Leah,Leah,0.0975609756097561,0.029061708649873383,0.017595747726384756,0
Agrippa,Agrippa,0.13821138211382114,0.027257985694611048,6.193688193784208e-05,5
Elijah,Elijah,0.13821138211382114,0.03349993335998934,0.029940939306090625,2
Pheroras,Pheroras,0.04878048780487805,0.0,0.0003267396661041535,5
Ahab,Ahab,0.0813008130081301,0.0001332800213248034,0.027248167972797513,2
Miriam,Miriam,0.07317073170731708,0.004555955395619531,0.01890218499427945,0
Rebekah,Rebekah,0.0894308943089431,0.0001332800213248034,0.01827597484336648,4
Potiphar,Potiphar,0.04065040650406505,0.0011151095117508552,0.005508964585306804,0
Ahasuerus,Ahasuerus,0.05691056910569106,0.0055133502154693665,0.00354920625614029,1
Dan,Dan,0.0813008130081301,0.0,0.0191734534894149,0
Simon,Simon,0.17073170731707318,0.08826691545603985,0.01716475011200181,6
Elisha,Elisha,0.0813008130081301,0.01077346839042161,0.013540606870574038,2
Korah,Korah,0.0813008130081301,0.02516104669243414,0.017572863467553084,0
Satan,Satan,0.0894308943089431,0.005848771602470124,0.014898533379425495,4
Jesse,Jesse,0.07317073170731708,0.009929361588697852,0.009764828294098051,2
Mary,Mary,0.0894308943089431,0.08931221162328717,0.006280470109079173,6
Abel,Abel,0.05691056910569106,0.008683193389310942,0.0031161314156643734,4
Cain,Cain,0.04878048780487805,0.007774667910613532,0.0031611209581971743,4
Noah,Noah,0.0975609756097561,0.007174907814651916,0.01774729876142913,4
Simeon,Simeon,0.11382113821138212,0.028190945843884666,0.01641805924697414,0
Ammon,Ammon,0.04878048780487805,0.0,0.016067405679547613,0
Shem,Shem,0.07317073170731708,0.0015771469190101735,0.00930390773710728,4
Claudius,Claudius,0.0813008130081301,0.01629348260695722,9.17813813998772e-06,5
Job,Job,0.10569105691056911,0.02492336398773824,0.01445351896165503,4
Caligula,Caligula,0.0813008130081301,0.004398240703718513,1.604551372182716e-05,5
Nathan,Nathan,0.06504065040650407,0.004169443333777601,0.008561674050503733,2
Paul,Paul,0.05691056910569106,0.010523727017129655,0.007228487477696168,6
Michael,Michael,0.0813008130081301,0.006308587676040694,0.01647225251674546,4
Demetrius,Demetrius,0.06504065040650407,0.003218712514994002,0.000260866016192595,5
Cleopatra,Cleopatra,0.0813008130081301,0.04472433248922654,0.00021658115859675992,5
Phinehas,Phinehas,0.07317073170731708,0.009896041583366653,0.01602452676334185,0
Philip,Philip,0.13008130081300814,0.05310320316317917,0.0002711945425729262,5
Malichus,Malichus,0.04065040650406505,0.0021324803411968546,2.1606306702402048e-05,5
Eliezer,Eliezer,0.13008130081300814,0.050899640143942444,0.012039768912498182,4
Jehu,Jehu,0.07317073170731708,0.001710426940334977,0.01196968804710558,2
Joash,Joash,0.06504065040650407,0.0029988004798080763,0.011798097670598306,0
Rehoboam,Rehoboam,0.06504065040650407,0.0,0.010480897944256513,2
Haran,Haran,0.07317073170731708,0.006353014349815629,0.008050456581516433,4
Tiberius,Tiberius,0.06504065040650407,0.0,1.4344573078364423e-05,5
Judas,Judas,0.0975609756097561,0.01164867386378782,0.0005764499643904996,6
Gabriel,Gabriel,0.06504065040650407,0.005020214136567596,0.009793173294779947,4
Nebuchadnezzar,Nebuchadnezzar,0.0813008130081301,0.01869474432449243,0.011289345615321099,2
Antiochus,Antiochus,0.0813008130081301,0.045267607242817164,0.00024407799309019682,5
Gideon,Gideon,0.04878048780487805,0.018494824292505218,0.009318204096835099,0
Bernice,Bernice,0.06504065040650407,0.01464969567728464,1.5048587797870621e-05,5
Gaius Cassius Longinus,Gaius Cassius Longinus,0.04878048780487805,0.0,1.5573126028313387e-05,5
Alexandra,Alexandra,0.05691056910569106,0.007796881247500999,0.000251781890081037,5
Herod Antipas,Herod Antipas,0.05691056910569106,0.003509707228219824,1.1794115713445974e-05,5
Aulus Gabinius,Aulus Gabinius,0.04065040650406505,0.008863121418099426,5.8336814273553695e-06,5
Enoch,Enoch,0.07317073170731708,0.028073215158381085,0.0056118844533559545,4
Flavius Josephus,Flavius Josephus,0.04065040650406505,0.01897018970189702,6.738426452700375e-05,6
Titus,Titus,0.05691056910569106,0.008652094717668486,0.001258367307132264,6
Antonia,Antonia,0.07317073170731708,0.01758407748011906,2.3413224986535432e-05,5
Johanan,Johanan,0.04065040650406505,0.019016837709360697,0.001688501572299161,4
Hyya,Hyya,0.07317073170731708,0.018081656226398332,0.002976638636389485,3
Samson,Samson,0.06504065040650407,0.017744013505708832,0.00488853400671841,2
Jose,Jose,0.0975609756097561,0.044964236527611195,0.0020816277422608083,3
Rabba,Rabba,0.06504065040650407,0.0009707228219823182,0.0023071934329890317,3
Matthias,Matthias,0.05691056910569106,0.01788173619441113,0.0003624429440709698,6
Nahman,Nahman,0.0813008130081301,0.006501843706961659,0.00441507395594721,3
Ruth,Ruth,0.04878048780487805,0.012423919321160427,0.0038726776462162256,2
Akiva,Akiva,0.07317073170731708,0.008720956062019634,0.004762677620973978,3
Huna,Huna,0.0975609756097561,0.017686258829801415,0.0034241779113221016,3
Marcus Antonius Felix,Marcus Antonius Felix,0.06504065040650407,0.07190901417210895,0.00010436362842271124,5
Hisda,Hisda,0.05691056910569106,0.014030260911508411,0.0024360494292384707,3
Darius,Darius,0.04878048780487805,0.02353280909858279,0.0025051560542854985,2
Meir,Meir,0.04065040650406505,0.003109867164245413,0.0023816979616576796,3
