Id,Label,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,CommunityID,Merged_Faction
Jacob,Jacob,0.6833333333333333,0.0529563492063491,0.5897967932460241,1,Early Biblical Era
Yahweh,Yahweh,0.6833333333333333,0.033688141923436,0.5527439096504323,1,Early Biblical Era
Moses,Moses,0.3083333333333333,0.0262861811391223,0.3778636334829567,1,Early Biblical Era
Aaron,Aaron,0.1666666666666666,0.0160830999066293,0.1648351234546096,1,Early Biblical Era
Jehudah,Jehudah,0.275,0.0222128851540616,0.1943332179508481,1,Early Biblical Era
David,David,0.2833333333333333,0.0437324929971988,0.1585233588367633,3,Monarchy & Exile
Joseph,Joseph,0.2583333333333333,0.0881139122315593,0.1157337458141593,1,Early Biblical Era
Abraham,Abraham,0.3083333333333333,0.1040896358543417,0.1308726615708104,0,Early Biblical Era
Isaac,Isaac,0.2166666666666666,0.0171451914098972,0.1157353358685835,0,Early Biblical Era
Edom,Edom,0.2166666666666666,0.0463468720821661,0.0902710428817297,0,Early Biblical Era
Saul,Saul,0.1416666666666666,0.0477100840336134,0.0612060649491366,3,Monarchy & Exile
Pharaoh,Pharaoh,0.1833333333333333,0.0555135387488328,0.1065657086821222,1,Early Biblical Era
Joshua,Joshua,0.1083333333333333,0.0089635854341736,0.0896119911394535,1,Early Biblical Era
Solomon,Solomon,0.125,0.0136694677871148,0.0594712547962187,3,Monarchy & Exile
Muhammad,Muhammad,0.25,0.1129598506069093,0.0715628717798132,3,Monarchy & Exile
Benjamin,Benjamin,0.1833333333333333,0.0079014939309056,0.0524072189002929,1,Early Biblical Era
Sarah,Sarah,0.1166666666666666,0.0126762371615312,0.0156287219359817,0,Early Biblical Era
Antipater,Antipater,0.1083333333333333,0.0051820728291316,9.53339963391702e-05,2,Roman Era & NT
Herod,Herod,0.25,0.0458333333333333,0.0018024014199879,2,Roman Era & NT
Rachel,Rachel,0.1083333333333333,0.0063958916900093,0.0308817607050972,1,Early Biblical Era
Samuel,Samuel,0.125,0.009673202614379,0.0439034312866625,3,Monarchy & Exile
Augustus Caesar,Augustus Caesar,0.1416666666666666,0.0384267040149392,8.281160203146064e-05,2,Roman Era & NT
Jeremiah,Jeremiah,0.0833333333333333,7.002801120448179e-05,0.0366775910318019,3,Monarchy & Exile
Mark Antony,Mark Antony,0.0833333333333333,0.0009897292250233,0.0005888933685907,2,Roman Era & NT
Ephraim,Ephraim,0.125,0.0283940242763772,0.0426659355134185,1,Early Biblical Era
Joab,Joab,0.1083333333333333,0.009094304388422,0.0209710941323775,3,Monarchy & Exile
Reuben,Reuben,0.1333333333333333,0.009547152194211,0.0393679969837872,1,Early Biblical Era
Elazar,Elazar,0.1583333333333333,0.0898902894491129,0.0462670043567402,1,Early Biblical Era
Haman,Haman,0.1,0.016750700280112,0.0105509786381421,5,Monarchy & Exile
Mordecai,Mordecai,0.075,0.0149836601307189,0.0101440392511218,5,Monarchy & Exile
Adam,Adam,0.1166666666666666,0.001610644257703,0.0162191197900308,0,Early Biblical Era
Eve,Eve,0.1,0.0199929971988795,0.0045928243162843,0,Early Biblical Era
Alexander,Alexander,0.1583333333333333,0.0073646125116713,0.0001739807030185,2,Roman Era & NT
Levi,Levi,0.1666666666666666,0.0072175536881419,0.045068861901737,1,Early Biblical Era
Jonathan,Jonathan,0.1333333333333333,0.0087138188608776,0.0185131704472419,3,Monarchy & Exile
Absalom,Absalom,0.0666666666666666,0.0063818860877684,0.0127031850120579,3,Monarchy & Exile
Moab,Moab,0.1,0.0067226890756302,0.0387174302773476,1,Early Biblical Era
Archelaus,Archelaus,0.075,0.0,5.894651718227715e-05,2,Roman Era & NT
Balaam,Balaam,0.1,0.003734827264239,0.0304913534486812,1,Early Biblical Era
Jeroboam,Jeroboam,0.1,0.0011788048552754,0.033171806735982,3,Monarchy & Exile
Peter,Peter,0.0916666666666666,0.0496802054154995,0.0068677431546855,4,Roman Era & NT
Balak,Balak,0.05,0.0,0.0160912931692433,1,Early Biblical Era
Jethro,Jethro,0.1,0.0215336134453781,0.0208190105899653,1,Early Biblical Era
Esther,Esther,0.075,0.0257959850606909,0.0054589419312833,5,Monarchy & Exile
Ishmael,Ishmael,0.0833333333333333,0.0001400560224089,0.0155379654944365,0,Early Biblical Era
Hezekiah,Hezekiah,0.0833333333333333,0.0272525676937441,0.0245141685945367,3,Monarchy & Exile
Leah,Leah,0.1,0.0307761437908496,0.0175966885830861,1,Early Biblical Era
Agrippa,Agrippa,0.1416666666666666,0.0269257703081232,6.195054743475153e-05,2,Roman Era & NT
Elijah,Elijah,0.15,0.0354645191409897,0.0299456078271436,3,Monarchy & Exile
Pheroras,Pheroras,0.05,0.0,0.000326777872848,2,Roman Era & NT
Ahab,Ahab,0.0833333333333333,0.0001400560224089,0.027249741883958,3,Monarchy & Exile
Miriam,Miriam,0.075,0.0061379551820728,0.0189037149301366,1,Early Biblical Era
Rebekah,Rebekah,0.0916666666666666,0.0001400560224089,0.0182765838258567,0,Early Biblical Era
Potiphar,Potiphar,0.0416666666666666,0.001281512605042,0.0055093764869237,1,Early Biblical Era
Ahasuerus,Ahasuerus,0.0583333333333333,0.0057236227824463,0.0035494213887248,5,Monarchy & Exile
Dan,Dan,0.0833333333333333,0.0,0.0191745722919041,1,Early Biblical Era
Simon,Simon,0.175,0.0927007469654528,0.0171665688057146,4,Roman Era & NT
Elisha,Elisha,0.0833333333333333,0.0110224089635854,0.0135413875327634,3,Monarchy & Exile
Korah,Korah,0.0833333333333333,0.0253151260504201,0.0175742607178665,1,Early Biblical Era
Satan,Satan,0.0916666666666666,0.0061461251167133,0.0148991547174644,0,Early Biblical Era
Jesse,Jesse,0.075,0.0103174603174603,0.0097653679141886,3,Monarchy & Exile
Mary,Mary,0.0916666666666666,0.09515639589169,0.0062814829730943,4,Roman Era & NT
Abel,Abel,0.0583333333333333,0.0091643323996265,0.0031162470979777,0,Early Biblical Era
Cain,Cain,0.05,0.0074684873949579,0.0031612436638486,0,Early Biblical Era
Noah,Noah,0.1,0.0075396825396825,0.0177481278184731,0,Early Biblical Era
Simeon,Simeon,0.1083333333333333,0.0256279178338001,0.0164118642649346,1,Early Biblical Era
Ammon,Ammon,0.05,0.0,0.0160682537237367,1,Early Biblical Era
Shem,Shem,0.075,0.001657329598506,0.0093042219834068,0,Early Biblical Era
Claudius,Claudius,0.0833333333333333,0.0170704948646125,9.180517968295911e-06,2,Roman Era & NT
Job,Job,0.1083333333333333,0.0261647992530345,0.014454249345857,0,Early Biblical Era
Caligula,Caligula,0.0833333333333333,0.0045401493930905,1.6049521545664117e-05,2,Roman Era & NT
Nathan,Nathan,0.0666666666666666,0.0038071895424836,0.0085622394027361,3,Monarchy & Exile
Paul,Paul,0.0583333333333333,0.0104201680672268,0.0072293203848242,4,Roman Era & NT
Michael,Michael,0.0833333333333333,0.0063258636788048,0.0164729672125006,0,Early Biblical Era
Demetrius,Demetrius,0.0666666666666666,0.0033893557422969,0.0002608973883951,2,Roman Era & NT
Cleopatra,Cleopatra,0.0833333333333333,0.0445774976657329,0.0002166058220222,2,Roman Era & NT
Phinehas,Phinehas,0.075,0.0105742296918767,0.0160260849674272,1,Early Biblical Era
Philip,Philip,0.1333333333333333,0.0534803921568627,0.0002714384383612,2,Roman Era & NT
Malichus,Malichus,0.0416666666666666,0.0022408963585434,2.16111545146044e-05,2,Roman Era & NT
Eliezer,Eliezer,0.125,0.0465873015873015,0.0120357773037705,0,Early Biblical Era
Jehu,Jehu,0.075,0.0019140989729225,0.0119703544144921,3,Monarchy & Exile
Joash,Joash,0.0666666666666666,0.0031512605042016,0.0117987739943577,1,Early Biblical Era
Rehoboam,Rehoboam,0.0666666666666666,0.0,0.0104815734400495,3,Monarchy & Exile
Haran,Haran,0.075,0.0064425770308123,0.0080507114899323,0,Early Biblical Era
Tiberius,Tiberius,0.0666666666666666,0.0,1.434842743697516e-05,2,Roman Era & NT
Judas,Judas,0.1,0.0118790849673202,0.0005768197337426,4,Roman Era & NT
Gabriel,Gabriel,0.0666666666666666,0.0052754435107376,0.0097937608148489,0,Early Biblical Era
Nebuchadnezzar,Nebuchadnezzar,0.0833333333333333,0.019470121381886,0.0112900071543912,3,Monarchy & Exile
Antiochus,Antiochus,0.0833333333333333,0.0417763772175536,0.0002441786884547,2,Roman Era & NT
Gideon,Gideon,0.05,0.0200093370681605,0.0093186734777473,1,Early Biblical Era
Bernice,Bernice,0.0666666666666666,0.0154014939309056,1.5051379931499402e-05,2,Roman Era & NT
Gaius Cassius Longinus,Gaius Cassius Longinus,0.05,0.0,1.5576557706574713e-05,2,Roman Era & NT
Alexandra,Alexandra,0.0583333333333333,0.0083333333333333,0.0002518088243755,2,Roman Era & NT
Herod Antipas,Herod Antipas,0.0583333333333333,0.003688141923436,1.1797718757578882e-05,2,Roman Era & NT
Aulus Gabinius,Aulus Gabinius,0.0416666666666666,0.0091736694677871,5.834835829156246e-06,2,Roman Era & NT
Enoch,Enoch,0.075,0.0301318860877684,0.0056121511873039,0,Early Biblical Era
Flavius Josephus,Flavius Josephus,0.0416666666666666,0.0195144724556489,6.739875576967373e-05,4,Roman Era & NT
Titus,Titus,0.0583333333333333,0.0092203548085901,0.0012584399513211,4,Roman Era & NT
Antonia,Antonia,0.075,0.0180065359477124,2.3418799861459488e-05,2,Roman Era & NT
Johanan,Johanan,0.0416666666666666,0.0194561157796451,0.0016865400107726,0,Early Biblical Era
Samson,Samson,0.0666666666666666,0.0197058823529411,0.0048887824458071,3,Monarchy & Exile
Jose,Jose,0.0833333333333333,0.0443370681605975,0.0020734698225926,3,Monarchy & Exile
Rabba,Rabba,0.0666666666666666,0.0026178804855275,0.0023331900425453,3,Monarchy & Exile
