Source,Target,Weight
Bhima,Pandu,1112
Arjuna,Bhima,925
Arjuna,Krishna,906
Krishna,Vasudeva_Anakadundubhi,746
Indra,Soma,686
Bhima,Yudhishthira,649
Arjuna,Yudhishthira,620
Arjuna,Pandu,521
Arjuna,Karna,506
Krishna,Yudhishthira,470
Arjuna,Drona,449
Raghu,Ráma,433
Bhima,Krishna,416
Bhima,Karna,378
Pandu,Yudhishthira,370
Bhima,Duryodhana,351
Arjuna,Indra,336
Duryodhana,Karna,335
Krishna,Pandu,314
Bhima,Drona,310
Arjuna,Duryodhana,308
Ráma,Sítá,297
Drona,Karna,296
Mitra,Varuna,282
Drona,Duryodhana,278
Agni,Indra,274
Arjuna,Vasudeva_Anakadundubhi,271
Arjuna,Sanjaya,269
Duryodhana,Krishna,266
Duryodhana,Yudhishthira,252
Karna,Pandu,224
Indra,Varuna,222
Indra,Krishna,216
Karna,Krishna,214
Drona,Krishna,204
Drona,Sanjaya,203
Duryodhana,Pandu,201
Drona,Yudhishthira,198
Bhima,Nakula,190
Duryodhana,Sanjaya,184
Indra,Vishnu,180
Drona,Pandu,178
Dhrishtadyumna,Drona,175
Bhima,Sanjaya,173
Karna,Sanjaya,169
Bhima,Draupadi,165
Krishna,Sanjaya,165
Krishna,Vishnu,165
Agni,Soma,159
Bhima,Indra,157
Agni,Varuna,156
Karna,Yudhishthira,155
Draupadi,Yudhishthira,154
Bhima,Dhrishtadyumna,144
Sanjaya,Yudhishthira,144
Indra,Ráma,142
Arjuna,Draupadi,132
Indra,Karna,123
Pandu,Sanjaya,122
Vasudeva_Anakadundubhi,Yudhishthira,118
Draupadi,Krishna,116
Arjuna,Dhrishtadyumna,115
Soma,Varuna,115
Nakula,Yudhishthira,113
Agni,Mitra,110
Indra,Mitra,110
Arjuna,Nakula,106
Drona,Indra,106
Bhima,Yama,104
Krishna,Ráma,102
Bhima,Vasudeva_Anakadundubhi,101
Krishna,Vyāsa,100
Indra,Yama,99
Arjuna,Yama,97
Aryaman,Mitra,94
Indra,Surya,90
Aryaman,Varuna,89
Pandu,Vasudeva_Anakadundubhi,89
Indra,Vayu,88
Dhrishtadyumna,Yudhishthira,86
Soma,Surya,83
Bhrigu,Ráma,81
Duryodhana,Indra,80
Vyāsa,Yudhishthira,78
Krishna,Śiva,77
Nakula,Pandu,77
Varuna,Yama,77
Aditi,Varuna,76
Asvins,Soma,75
Indra,Śiva,74
Draupadi,Pandu,73
Soma,Vayu,72
Dhrishtadyumna,Karna,71
Mitra,Soma,68
Duryodhana,Vasudeva_Anakadundubhi,66
Draupadi,Nakula,65
Karna,Nakula,64
Agni,Surya,63
Dhrishtadyumna,Draupadi,63
Arjuna,Ganga,62
Indra,Sachi,61
Hanumán,Ráma,60
Aditi,Mitra,59
Raghu,Sítá,59
Arjuna,Ráma,58
Arjuna,Śiva,58
Janak,Ráma,58
Drona,Vasudeva_Anakadundubhi,57
Krishna,Yama,57
Agni,Arjuna,56
Asvins,Indra,56
Dhrishtadyumna,Krishna,56
Devaki,Krishna,55
Draupadi,Duryodhana,55
Drona,Yama,54
Aditi,Indra,53
Karna,Yama,53
Sanjaya,Vasudeva_Anakadundubhi,53
Soma,Vishnu,53
Dhrishtadyumna,Duryodhana,52
Agni,Śiva,51
Vishnu,Śiva,50
Ganga,Yudhishthira,49
Agni,Vishnu,48
Khara,Ráma,48
Lakshmaṇ,Ráma,47
Varuna,Vishnu,47
Agni,Asvins,46
Pandu,Yama,46
Surya,Varuna,46
Krishna,Nakula,44
Arjuna,Vyāsa,43
Brhaspati,Indra,43
Arjuna,Vishnu,42
Aryaman,Indra,42
Bhaga,Mitra,42
Dhrishtadyumna,Nakula,42
Aditi,Agni,41
Agni,Vayu,41
Bhaga,Varuna,41
Draupadi,Drona,41
Karna,Surya,41
Ráma,Yudhishthira,41
Janak,Sítá,40
Asvins,Varuna,39
Ráma,Vasishtha,39
Varuna,Vayu,39
Angad,Ráma,38
Ganga,Krishna,38
Varuna,Śiva,38
Vasudeva_Anakadundubhi,Vishnu,38
Agni,Angiras,37
Balarāma,Krishna,37
Maitreya,Vishnu,37
Yama,Yudhishthira,37
Agni,Aryaman,36
Bhaga,Indra,36
Ráma,Vishnu,36
Asvins,Mitra,35
Krishna,Maitreya,35
Akrura,Krishna,34
Bhrigu,Indra,34
Angiras,Bhrigu,33
Aryaman,Bhaga,33
Indra,Raghu,33
Agni,Bhaga,32
Báli,Indra,32
Drona,Ganga,32
