Id,Label,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,CommunityID
Bhima,Bhima,0.3375,0.01890295358649789,0.4420525340343743,0
Pandu,Pandu,0.23750000000000002,0.011471518987341773,0.33825477040244456,0
Arjuna,Arjuna,0.525,0.09844409282700424,0.46181718071925687,0
Krishna,Krishna,0.5,0.03176160337552743,0.3622254268801971,0
Vasudeva_Anakadundubhi,Vasudeva_Anakadundubhi,0.23750000000000002,0.00031645569620253165,0.16137462019957893,0
Indra,Indra,0.6875,0.07100210970464134,0.1300403957836279,2
Soma,Soma,0.3375,0.058834388185654014,0.030761747433949695,2
Yudhishthira,Yudhishthira,0.3875,0.06233649789029535,0.31858275411609055,0
Karna,Karna,0.2,0.0026371308016877636,0.23403590607272462,0
Drona,Drona,0.28750000000000003,0.00010548523206751055,0.21930718187649945,0
Raghu,Raghu,0.1875,0.0023206751054852324,0.005936385538242171,4
Ráma,Ráma,0.4,0.0245253164556962,0.032655675577744014,4
Duryodhana,Duryodhana,0.25,0.012331223628691981,0.21746653794390852,0
Sítá,Sítá,0.1875,0.017510548523206753,0.004164583334577362,4
Mitra,Mitra,0.2,0.006381856540084388,0.007856982944232468,2
Varuna,Varuna,0.28750000000000003,0.01561181434599156,0.015917556973506327,2
Agni,Agni,0.41250000000000003,0.050632911392405056,0.02691874310269072,2
Sanjaya,Sanjaya,0.225,0.012341772151898737,0.14283307008020027,0
Nakula,Nakula,0.15000000000000002,0.0,0.0707758915155912,0
Vishnu,Vishnu,0.4375,0.03197257383966245,0.038185692479377545,2
Dhrishtadyumna,Dhrishtadyumna,0.1375,0.0,0.07051097843314517,0
Draupadi,Draupadi,0.125,0.0,0.0824146881292883,0
Yama,Yama,0.35000000000000003,0.054113924050632915,0.05549342879630801,2
Vyāsa,Vyāsa,0.1875,0.005010548523206751,0.033866231681357856,0
Aryaman,Aryaman,0.125,0.0,0.00294998656675276,2
Surya,Surya,0.2,0.016772151898734176,0.01259386244640945,2
Vayu,Vayu,0.1875,0.005880801687763713,0.005512060524768519,2
Bhrigu,Bhrigu,0.2,0.0006856540084388185,0.008455230879916011,4
Śiva,Śiva,0.28750000000000003,0.0391613924050633,0.023455002732422195,2
Aditi,Aditi,0.1875,0.020833333333333332,0.0034514916655802885,2
Asvins,Asvins,0.21250000000000002,0.01318565400843882,0.0036358909886948106,2
Ganga,Ganga,0.2,0.0014240506329113924,0.030639838045984445,0
Sachi,Sachi,0.15000000000000002,0.031392405063291134,0.006978812839803381,2
Hanumán,Hanumán,0.1125,0.0,0.0036022138884763298,4
Janak,Janak,0.1125,0.03386075949367089,0.0017305387927426567,4
Devaki,Devaki,0.1125,0.0,0.013867216663150326,0
Khara,Khara,0.0625,0.0033597046413502106,0.000601612435127188,4
Lakshmaṇ,Lakshmaṇ,0.15000000000000002,0.04369198312236288,0.0031441122835464703,4
Brhaspati,Brhaspati,0.15000000000000002,0.02613396624472574,0.002151178953896609,2
Bhaga,Bhaga,0.17500000000000002,0.014208860759493671,0.002848758036363733,2
Vasishtha,Vasishtha,0.225,0.008913502109704643,0.0056827461462976465,4
Angad,Angad,0.08750000000000001,0.0,0.0007263356913967225,4
Angiras,Angiras,0.15000000000000002,0.00569620253164557,0.002228800845990568,4
Balarāma,Balarāma,0.08750000000000001,0.015295358649789028,0.004615285284436571,0
Maitreya,Maitreya,0.17500000000000002,0.026450421940928275,0.006294077049530072,0
Akrura,Akrura,0.07500000000000001,0.00390295358649789,0.00475403275875916,0
Báli,Báli,0.1625,0.05132911392405064,0.0042551184526757775,2
Rukmini,Rukmini,0.07500000000000001,0.011023206751054851,0.005172142889545393,0
Atri,Atri,0.17500000000000002,0.02101793248945148,0.0020739708307657965,4
Gautama,Gautama,0.15000000000000002,0.009599156118143461,0.005295023975724358,4
Tvastar,Tvastar,0.1375,0.00390295358649789,0.0015260738237844473,2
Guha,Guha,0.07500000000000001,0.02236286919831224,0.00045308959850714955,4
Tárá,Tárá,0.08750000000000001,0.004029535864978903,0.0005455640314533306,4
Agastya,Agastya,0.1125,0.00015822784810126583,0.0022543070529820073,4
Daksha,Daksha,0.1625,0.0015822784810126582,0.0026224541449584894,2
Prahlāda,Prahlāda,0.125,0.03085443037974684,0.0026825484577866878,2
Naraka,Naraka,0.1125,0.02891350210970464,0.004105693692630799,0
Mahendra,Mahendra,0.15000000000000002,0.023982067510548523,0.005107360581370416,2
Kali,Kali,0.1375,0.03662447257383967,0.004659318821090713,0
Matarisvan,Matarisvan,0.05,0.005379746835443038,0.0004302823695977276,2
Níla,Níla,0.125,0.03388713080168776,0.0016801788531040519,4
Kapila,Kapila,0.08750000000000001,0.03481012658227848,0.0005872196291556916,4
Sagara,Sagara,0.125,0.02701476793248945,0.0015718583788336216,4
Kumbhakarṇa,Kumbhakarṇa,0.07500000000000001,0.020564345991561178,0.0003139449728689506,4
Kanva,Kanva,0.0625,0.001687763713080169,0.000533684166296043,2
Parjanya,Parjanya,0.15000000000000002,0.07526898734177215,0.0011004126992532378,2
Vibhishaṇ,Vibhishaṇ,0.0625,0.005379746835443038,0.00011732420212431658,4
Vivasvan,Vivasvan,0.05,0.0,0.0005764573537749004,2
Dhruva,Dhruva,0.07500000000000001,0.017848101265822786,0.0011477460668259097,2
Eve,Eve,0.1125,0.06681434599156119,0.002366223328926565,2
