Id,Label,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,CommunityID,Merged_Faction
Bhima,Bhima,0.3033707865168539,0.0198884916581545,0.4418325380309109,0,Mahabharata Epic Faction
Pandu,Pandu,0.2134831460674157,0.0187734082397003,0.3374724702615903,0,Mahabharata Epic Faction
Arjuna,Arjuna,0.449438202247191,0.1005107252298263,0.4609137315745062,0,Mahabharata Epic Faction
Krishna,Krishna,0.4382022471910112,0.0330481784133469,0.3593981660434026,0,Mahabharata Epic Faction
Vasudeva_Anakadundubhi,Vasudeva_Anakadundubhi,0.2134831460674157,0.0028941096356826,0.1560998125085861,0,Mahabharata Epic Faction
Indra,Indra,0.651685393258427,0.1082567245488593,0.1427065574837978,2,Rig-Vedic Pantheonic Faction
Soma,Soma,0.2921348314606741,0.0419773578481443,0.033367694582644,2,Rig-Vedic Pantheonic Faction
Yudhishthira,Yudhishthira,0.3595505617977528,0.0655388151174667,0.3229604544487512,0,Mahabharata Epic Faction
Karna,Karna,0.1797752808988764,0.0014470548178413,0.2339454017429013,0,Mahabharata Epic Faction
Drona,Drona,0.2359550561797752,0.0,0.2188709060663211,0,Mahabharata Epic Faction
Duryodhana,Duryodhana,0.2022471910112359,0.0053626149131767,0.2172245461001371,0,Mahabharata Epic Faction
Lakshmaṇ,Lakshmaṇ,0.2134831460674157,0.0072778345250255,0.0032938417677883,4,Ramayana Narrative Faction
Ráma,Ráma,0.348314606741573,0.0232677902621722,0.0186652479129533,4,Ramayana Narrative Faction
Mitra,Mitra,0.1797752808988764,0.0059159005788219,0.0084247908257534,2,Rig-Vedic Pantheonic Faction
Varuna,Varuna,0.2584269662921348,0.0119169220292815,0.0167197005064071,2,Rig-Vedic Pantheonic Faction
Agni,Agni,0.3932584269662921,0.0560137895812053,0.0281005333639266,2,Rig-Vedic Pantheonic Faction
Sanjaya,Sanjaya,0.1910112359550561,0.0132788559754851,0.1424687603294441,0,Mahabharata Epic Faction
Sítá,Sítá,0.2022471910112359,0.0194926796050391,0.0022728357386975,4,Ramayana Narrative Faction
Yahweh,Yahweh,0.4606741573033708,0.0892322097378277,0.0524991385364565,2,Rig-Vedic Pantheonic Faction
Nakula,Nakula,0.1348314606741573,0.0,0.0707158018137892,0,Mahabharata Epic Faction
Raghu,Raghu,0.1910112359550561,0.0002553626149131,0.0028981654042703,4,Ramayana Narrative Faction
Vishnu,Vishnu,0.3932584269662921,0.0356443649982975,0.0370737262162109,2,Rig-Vedic Pantheonic Faction
Dhrishtadyumna,Dhrishtadyumna,0.1235955056179775,0.0,0.070421556003663,0,Mahabharata Epic Faction
Draupadi,Draupadi,0.1123595505617977,0.0,0.0823449161934019,0,Mahabharata Epic Faction
Yama,Yama,0.3146067415730337,0.0578396322778345,0.0553665471607875,2,Rig-Vedic Pantheonic Faction
Vyāsa,Vyāsa,0.1797752808988764,0.0111295539666326,0.0337486772744772,0,Mahabharata Epic Faction
Aryaman,Aryaman,0.1123595505617977,0.0,0.0031608132224118,2,Rig-Vedic Pantheonic Faction
Surya,Surya,0.1797752808988764,0.0131937351038474,0.013004718926523,2,Rig-Vedic Pantheonic Faction
Vayu,Vayu,0.1685393258426966,0.0064223697650663,0.0058141869184204,2,Rig-Vedic Pantheonic Faction
Śiva,Śiva,0.2696629213483146,0.0442500851208716,0.0244199769510135,2,Rig-Vedic Pantheonic Faction
Bhrigu,Bhrigu,0.1797752808988764,6.384065372829418e-05,0.0078976364886626,2,Rig-Vedic Pantheonic Faction
Aditi,Aditi,0.1797752808988764,0.0265832482124616,0.0036963080207442,2,Rig-Vedic Pantheonic Faction
Asvins,Asvins,0.1910112359550561,0.0138108614232209,0.0038082660431127,2,Rig-Vedic Pantheonic Faction
Kaikeyí,Kaikeyí,0.0898876404494382,0.0002553626149131,0.0003793239363672,4,Ramayana Narrative Faction
Ganga,Ganga,0.1797752808988764,0.005873340143003,0.0305196637758133,0,Mahabharata Epic Faction
Daśaratha,Daśaratha,0.1011235955056179,0.001532175689479,0.0003833353469384,4,Ramayana Narrative Faction
Parāçara,Parāçara,0.146067415730337,0.0097037793667007,0.0076769406043945,0,Mahabharata Epic Faction
Devaki,Devaki,0.1011235955056179,0.0001276813074565,0.0137993450076962,0,Mahabharata Epic Faction
Sachi,Sachi,0.1348314606741573,0.0301923731699012,0.0070290415752382,2,Rig-Vedic Pantheonic Faction
Janak,Janak,0.1348314606741573,0.0766258086482805,0.0014552045744371,4,Ramayana Narrative Faction
Báli,Báli,0.146067415730337,0.0308392917943479,0.0034062830645802,4,Ramayana Narrative Faction
Hanumán,Hanumán,0.1235955056179775,0.0,0.0033067043711593,4,Ramayana Narrative Faction
Brhaspati,Brhaspati,0.1348314606741573,0.0241104868913857,0.0023412953933584,2,Rig-Vedic Pantheonic Faction
Khara,Khara,0.0786516853932584,0.0343377596186584,0.0003785838009496,4,Ramayana Narrative Faction
Maitreya,Maitreya,0.1573033707865168,0.0190883554647599,0.0060871397661936,0,Mahabharata Epic Faction
Bhaga,Bhaga,0.1573033707865168,0.0127681307456588,0.0030134717161862,2,Rig-Vedic Pantheonic Faction
Angiras,Angiras,0.1235955056179775,0.0007660878447395,0.0023106744358846,2,Rig-Vedic Pantheonic Faction
Balarāma,Balarāma,0.0786516853932584,0.0130022131426625,0.0044130022651404,0,Mahabharata Epic Faction
Vibhishaṇ,Vibhishaṇ,0.1123595505617977,0.0112444671433435,0.0006529792964205,4,Ramayana Narrative Faction
Akrura,Akrura,0.0674157303370786,0.0047242083758937,0.0043626705986519,0,Mahabharata Epic Faction
Ikshváku,Ikshváku,0.0898876404494382,0.0072778345250255,0.0003125226468229,4,Ramayana Narrative Faction
Sumitrá,Sumitrá,0.0898876404494382,0.0035495403472931,0.000467602815344,4,Ramayana Narrative Faction
Angad,Angad,0.0786516853932584,0.0,0.0002194466704849,4,Ramayana Narrative Faction
Rukmini,Rukmini,0.0674157303370786,0.0048518896833503,0.004944126553907,0,Mahabharata Epic Faction
Atri,Atri,0.1573033707865168,0.0201949267960503,0.0021276917650768,2,Rig-Vedic Pantheonic Faction
Vasishtha,Vasishtha,0.1685393258426966,0.0020003404834865,0.0051270656087694,2,Rig-Vedic Pantheonic Faction
Tvastar,Tvastar,0.1235955056179775,0.003255873340143,0.001644157198959,2,Rig-Vedic Pantheonic Faction
Gautama,Gautama,0.1348314606741573,0.0082992849846782,0.0052836724020982,2,Rig-Vedic Pantheonic Faction
Guha,Guha,0.0786516853932584,0.0203524004085801,0.0003529878815685,4,Ramayana Narrative Faction
Agastya,Agastya,0.1123595505617977,0.0096186584950629,0.002217583071888,2,Rig-Vedic Pantheonic Faction
