Id,Label,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,CommunityID
Joshua,Joshua,0.6323529411764706,0.0007082699505244164,0.09875737594592487,0
Moses,Moses,0.8382352941176471,0.01751676307855242,0.199723708269433,0
Ruth,Ruth,0.3382352941176471,0.011589641379752469,0.006209363280265283,0
Samuel,Samuel,0.7058823529411764,0.005141666762868459,0.2624123252798923,3
Esther,Esther,0.4926470588235294,0.014135963056602323,0.01415135411243953,1
Job,Job,0.4852941176470588,0.010994672276379666,0.014375612746112173,0
Muhammad,Muhammad,0.5735294117647058,0.03976490584919422,0.014290811396271015,2
Solomon,Solomon,0.7426470588235294,0.03390929207280733,0.07148435945644048,0
Jeremiah,Jeremiah,0.5367647058823529,0.013857251332260942,0.0580336599367196,3
Matthias,Matthias,0.4411764705882353,0.02510502693655585,0.005462341408799619,2
John,John,0.5367647058823529,0.023926882825990446,0.010577117866917639,2
Paul,Paul,0.34558823529411764,0.006931803369711865,0.004075619068372479,2
Titus,Titus,0.33088235294117646,0.0030256919309206904,0.0027052854658817945,2
Peter,Peter,0.2426470588235294,0.0009315402180325928,0.004882991344502753,2
Adam,Adam,0.4632352941176471,0.00666319461678069,0.01769437735117406,0
Eve,Eve,0.33088235294117646,0.05876618242975685,0.004326141306502606,0
Cain,Cain,0.16911764705882354,0.008767598570676785,0.0016426024651601124,0
Abel,Abel,0.3088235294117647,0.013328473811989766,0.0030895914914598204,0
Enoch,Enoch,0.2867647058823529,0.007462211847780052,0.0024244127493252936,0
Noah,Noah,0.5294117647058824,0.015434407673616228,0.021734846769702356,0
Shem,Shem,0.34558823529411764,0.007146355322600796,0.009533276867225257,0
Abraham,Abraham,0.8088235294117647,0.02171172449249707,0.10770333540281676,0
Haran,Haran,0.25735294117647056,0.018014390656547516,0.00918453038067736,0
Sarah,Sarah,0.47058823529411764,0.021011199881245644,0.01968359552059905,0
Pharaoh,Pharaoh,0.5955882352941176,0.036083510738387066,0.045270289740824955,0
Dan,Dan,0.3897058823529412,0.03339459475407188,0.02274401007369724,0
Eliezer,Eliezer,0.5661764705882353,0.010113000845425036,0.11817329103738206,3
Ishmael,Ishmael,0.625,0.007424391905601054,0.08160904831140946,3
Isaac,Isaac,0.7058823529411764,0.019850547585515493,0.09439286923367202,0
Ammon,Ammon,0.21323529411764705,0.0009949698980050209,0.013288407842528806,0
Moab,Moab,0.4779411764705882,0.01620402161353552,0.02948370334273047,0
Rebekah,Rebekah,0.25735294117647056,0.03766278149293833,0.01796121307211587,0
Edom,Edom,0.5514705882352942,0.00018803817823425664,0.0743875173232792,0
Jacob,Jacob,0.8529411764705882,0.02069973599385364,0.4108719684052979,0
Rachel,Rachel,0.41911764705882354,0.033474197324642505,0.029515540934662125,0
Leah,Leah,0.3088235294117647,0.001754748408085181,0.01569203614266588,0
Reuben,Reuben,0.4264705882352941,0.011328034887826686,0.03384372413948185,0
Simeon,Simeon,0.7058823529411764,0.00951389661185676,0.2424412350326972,3
Levi,Levi,0.6470588235294118,0.00981299722889496,0.07977893200884026,0
Jehudah,Jehudah,0.7867647058823529,0.005107804021202715,0.4159375118638191,3
Joseph,Joseph,0.8308823529411764,0.00822598485997179,0.19225273791002248,3
Benjamin,Benjamin,0.5661764705882353,0.005937302121555648,0.06183322689525477,0
Jethro,Jethro,0.27941176470588236,0.0069390946383263786,0.007000953124876678,0
Korah,Korah,0.3382352941176471,0.01048353735204946,0.00962830781245146,0
Omar,Omar,0.10294117647058823,0.003099508213887298,0.0007093618203283884,2
Saul,Saul,0.6617647058823529,0.009759546946638453,0.08383467291268186,0
Potiphar,Potiphar,0.08088235294117647,0.0003952515349574173,0.001712188632809844,0
Ephraim,Ephraim,0.4264705882352941,0.0016188696621703155,0.04553602317409508,0
Aaron,Aaron,0.5955882352941176,0.024525493815090362,0.0952696441365799,0
Elazar,Elazar,0.7720588235294118,0.05081111264886737,0.16660010241960727,3
Phinehas,Phinehas,0.23529411764705882,0.0036978149967406976,0.009394984135029559,0
Miriam,Miriam,0.38235294117647056,0.0337047246280579,0.009259498983752099,0
Gamaliel,Gamaliel,0.5441176470588235,0.004387308830425866,0.11393152497974612,3
Michael,Michael,0.38235294117647056,0.027533522503263907,0.010255328227015385,0
Balak,Balak,0.1323529411764706,0.00439087912686124,0.004006724501607682,0
Balaam,Balaam,0.3088235294117647,0.01577677648841552,0.0069881020038292906,0
Gideon,Gideon,0.15441176470588236,1.0893246187363835e-05,0.004485189883111628,0
Joash,Joash,0.22794117647058823,0.008486194992883004,0.01330060097142106,0
Samson,Samson,0.22058823529411764,0.01454125933196483,0.003937114222715534,0
Jonathan,Jonathan,0.7058823529411764,0.03604946831242257,0.04390820755062522,0
David,David,0.8088235294117647,0.0019494112359036105,0.17531704376840557,0
Jesse,Jesse,0.25735294117647056,0.003458248968954402,0.014154019603685024,0
Joab,Joab,0.3235294117647059,0.023674849239147585,0.02580988878852213,0
Absalom,Absalom,0.3088235294117647,0.01869970768033508,0.01438559428102623,0
Nathan,Nathan,0.5294117647058824,0.0132396954222591,0.04703144940200987,3
Jeroboam,Jeroboam,0.4117647058823529,0.00538392878214101,0.03989737603710033,0
Rehoboam,Rehoboam,0.25,0.015871136792256876,0.01412836468778518,0
Jehu,Jehu,0.20588235294117646,0.0031858540273572962,0.01220270954642805,0
Ahab,Ahab,0.2647058823529412,0.02570017723129844,0.019006056418013124,0
Elijah,Elijah,0.5220588235294118,0.010234383825133338,0.026085708064779882,0
Elisha,Elisha,0.4485294117647059,0.008308978527128953,0.016446134926561388,0
Hezekiah,Hezekiah,0.47058823529411764,0.0225501139945698,0.027117105888896712,0
Nebuchadnezzar,Nebuchadnezzar,0.45588235294117646,0.04230281967563345,0.014228110186269533,1
Johanan,Johanan,0.6176470588235294,0.012475383694307458,0.24276088573989105,3
Śiva,Śiva,0.058823529411764705,0.0007804488237494772,0.00035465130755820415,0
Satan,Satan,0.4852941176470588,0.014181855272541549,0.009778082027910976,0
Mordecai,Mordecai,0.38235294117647056,0.000599623325113521,0.01305816390713366,1
Ahasuerus,Ahasuerus,0.3602941176470588,0.00601151977813198,0.006318109637892323,1
Darius,Darius,0.29411764705882354,0.03138875663310026,0.0035079555923569414,2
Haman,Haman,0.4264705882352941,0.0025970417990314183,0.011880339499835057,1
Yahweh,Yahweh,0.5441176470588235,0.006102471254575372,0.029883072842372564,0
Gabriel,Gabriel,0.3529411764705882,0.003172482432493764,0.007019662966780344,0
Jesus,Jesus,0.5955882352941176,0.050925076509668654,0.029071757874403328,2
Judas,Judas,0.40441176470588236,0.021803246840732423,0.006022377534550536,2
Mary,Mary,0.2647058823529412,0.005533424678430568,0.006361174836579205,2
Herod,Herod,0.5661764705882353,0.01930722017427993,0.013230090188190276,2
Ráma,Ráma,0.1323529411764706,0.01297631461866274,0.001063527668690869,0
Archelaus,Archelaus,0.2647058823529412,0.01690735218727021,0.002209808233763782,2
Simon,Simon,0.5955882352941176,0.015278058440847543,0.02329233684936128,2
Philip,Philip,0.2867647058823529,0.00015432098765432096,0.0017482510377817228,2
Zacharias,Zacharias,0.2426470588235294,0.0011242152908819574,0.0018304177540107759,2
Alexander,Alexander,0.5220588235294118,0.021857333273463165,0.007116299966860077,2
Tiberius,Tiberius,0.25735294117647056,0.03357451109080954,0.0014267901130987782,2
Jose,Jose,0.5514705882352942,0.000844557115318361,0.16400152567166276,3
Claudius,Claudius,0.25735294117647056,0.017429378397380308,0.0008499444643972516,2
Demetrius,Demetrius,0.1838235294117647,0.016913903639264836,0.0015563997551846383,2
Marcus Antonius Felix,Marcus Antonius Felix,0.27205882352941174,0.007712146015527866,0.0010557465396458911,2
Agrippa,Agrippa,0.4264705882352941,0.013845663873057181,0.0035707035069846146,2
Bernice,Bernice,0.21323529411764705,0.00011256354393609294,0.0005550232739797482,2
Herod Antipas,Herod Antipas,0.1764705882352941,1.4524328249818445e-05,0.0006685633643200411,2
Zaid,Zaid,0.058823529411764705,0.006364042722781265,0.0002460289926457011,2
Augustus Caesar,Augustus Caesar,0.41911764705882354,0.00553448265818508,0.004149994048701405,2
Akiva,Akiva,0.5,0.01297988653256258,0.09230914022519482,3
Shoaib,Shoaib,0.11029411764705882,0.00021916173876958188,0.0006821700453570671,0
Saleh,Saleh,0.09558823529411764,0.00019886907250741672,0.0006313250965002946,0
Rabba,Rabba,0.5294117647058824,0.002330843725322569,0.1525584673161748,3
Flavius Josephus,Flavius Josephus,0.6911764705882353,0.00011574074074074073,0.029502679955267043,2
Hyya,Hyya,0.4926470588235294,0.0378162139403963,0.0839528597411478,3
Ashi,Ashi,0.4411764705882353,0.013698664248814175,0.08473169123449426,3
Rabha,Rabha,0.5735294117647058,0.0033834676929792172,0.22151730844578105,3
Resh Lakish,Resh Lakish,0.4852941176470588,0.02574595907726151,0.05473950158405346,3
Nahman,Nahman,0.4779411764705882,0.015171221212758884,0.1426390535853973,3
Huna,Huna,0.4411764705882353,0.002793162293211719,0.1199274035902696,3
Abayi,Abayi,0.5073529411764706,0.01490010480654247,0.16233600328917588,3
Ula,Ula,0.3382352941176471,0.011383422174413491,0.03169698424277326,3
Hisda,Hisda,0.41911764705882354,0.00425824412406031,0.06884241706910925,3
Papa,Papa,0.45588235294117646,0.003644084655714798,0.0797773470518899,3
Meir,Meir,0.4264705882352941,0.0049089078068620335,0.09621738237082832,3
Karna,Karna,0.1323529411764706,0.00026512238882481096,0.0019797077029465237,3
Cleopatra,Cleopatra,0.23529411764705882,0.024306277765764498,0.0017154737393065768,2
Ptolemy,Ptolemy,0.3529411764705882,0.011852760455858457,0.0035543763993853518,2
Arjuna,Arjuna,0.014705882352941176,0.0,0.00024830365177048953,3
Antiochus,Antiochus,0.27205882352941174,0.016409511333164706,0.002965211841086915,2
Mark Antony,Mark Antony,0.25,0.03901634509418205,0.003018865703506888,2
Alexandra,Alexandra,0.14705882352941177,0.00010893246187363834,0.001048277221928214,2
Antipater,Antipater,0.25,0.007700755278369655,0.0022779804009792834,2
Marcus Aemilius Scaurus,Marcus Aemilius Scaurus,0.07352941176470588,0.014002389329667297,8.357856308877341e-05,2
Aulus Gabinius,Aulus Gabinius,0.09558823529411764,0.00023602033405954978,0.00019868513726268704,2
Gaius Cassius Longinus,Gaius Cassius Longinus,0.16911764705882354,0.004990794427375517,0.0004467490982589856,2
Malichus,Malichus,0.07352941176470588,0.0,0.00039453331973794687,2
Antonia,Antonia,0.20588235294117646,2.178649237472767e-05,0.0003791113654497171,2
Pheroras,Pheroras,0.16911764705882354,0.012100130008936796,0.0016058517124933318,2
Caligula,Caligula,0.19117647058823528,0.0,0.0006883643699528398,2
Gessius Florus,Gessius Florus,0.1764705882352941,0.004601565978199966,0.0004011773810176285,2
Izates,Izates,0.11029411764705882,0.007000456950873901,0.00020222550529680708,2
Cestius Gallus,Cestius Gallus,0.14705882352941177,0.002240539175179698,0.000450477886185407,2
Placidus,Placidus,0.022058823529411763,0.0,5.990712080880753e-05,2
