Id,Label,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,CommunityID
John,John,0.12592592592592594,0.07768345829196789,0.002297685163506527,0
Krishna,Krishna,0.6148148148148148,0.07619366070761055,0.33367333944196603,0
Vyāsa,Vyāsa,0.4,0.027504646633999878,0.04678947674580346,0
Chandra,Chandra,0.2740740740740741,0.030839308127665,0.0012405142823355495,1
Vasudeva_Anakadundubhi,Vasudeva_Anakadundubhi,0.41481481481481486,0.004679853511992901,0.1340922794023724,0
Pandu,Pandu,0.40740740740740744,0.0012477296059385612,0.2973836859992832,0
Vishnu,Vishnu,0.6814814814814815,0.04967986903676106,0.0622166052749951,1
Daksha,Daksha,0.3851851851851852,0.021233540859508033,0.005351470535426237,1
Vasishtha,Vasishtha,0.37777777777777777,0.013945914505615999,0.009940371978923095,1
Sanjaya,Sanjaya,0.31851851851851853,0.019898597416285028,0.17835358492131467,0
Drona,Drona,0.4740740740740741,0.06514526638584525,0.2639128462608829,0
Karna,Karna,0.3925925925925926,0.00026905561731432377,0.2697735764603996,0
Ganga,Ganga,0.4740740740740741,0.06350520142169482,0.04501100190653412,0
Yudhishthira,Yudhishthira,0.4666666666666667,0.0033094689697544984,0.33403516707475017,0
Arjuna,Arjuna,0.5111111111111112,0.031028056702868918,0.4597987463700004,0
Bhima,Bhima,0.41481481481481486,0.02753540622852474,0.33841780884254924,0
Indra,Indra,0.6592592592592593,0.09464003196613698,0.2066824496482547,1
Vayu,Vayu,0.37777777777777777,0.03419519606666945,0.016464098854251503,1
Nakula,Nakula,0.25925925925925924,0.012589501770908862,0.08185257146731652,0
Duryodhana,Duryodhana,0.3851851851851852,0.010941499921663603,0.2630594503617729,0
Balarāma,Balarāma,0.2518518518518519,0.06229955134733356,0.008014862541430988,1
Agni,Agni,0.5037037037037038,0.003698010009207644,0.053096747299402926,1
Draupadi,Draupadi,0.33333333333333337,0.01620034814337284,0.10517840254435089,0
Ráma,Ráma,0.5555555555555556,0.03717108980681468,0.05437266433812175,2
Raghu,Raghu,0.33333333333333337,0.008669931659152221,0.008801271397704619,2
Sagara,Sagara,0.34074074074074073,0.07806478747888608,0.0022985987276115134,1
